iter	Passed	Remaining
0	169	169712
1	176	87994
2	185	61770
3	194	48422
4	202	40239
5	209	34772
6	219	31144
7	227	28154
8	235	25932
9	246	24361
10	269	24229
11	279	23005
12	289	21942
13	298	21029
14	306	20140
15	317	19536
16	326	18855
17	335	18296
18	345	17813
19	352	17272
20	381	17765
21	390	17370
22	410	17430
23	420	17087
24	430	16770
25	440	16483
26	449	16197
27	459	15937
28	468	15696
29	477	15445
30	486	15216
31	495	14996
32	505	14822
33	514	14627
34	526	14508
35	539	14436
36	549	14312
37	560	14178
38	568	14002
39	580	13937
40	588	13772
41	596	13614
42	608	13541
43	615	13367
44	627	13311
45	635	13182
46	643	13038
47	654	12975
48	661	12845
49	671	12764
50	683	12720
51	691	12611
52	703	12566
53	714	12514
54	722	12420
55	731	12326
56	740	12249
57	750	12182
58	761	12150
59	772	12101
60	784	12081
61	795	12039
62	809	12033
63	818	11972
64	828	11923
65	839	11877
66	847	11802
67	862	11819
68	873	11783
69	884	11748
70	892	11677
71	903	11645
72	917	11656
73	926	11587
74	937	11568
75	947	11517
76	955	11450
77	966	11428
78	975	11367
79	983	11314
80	994	11285
81	1002	11227
82	1012	11185
83	1020	11130
84	1029	11081
85	1038	11041
86	1048	11000
87	1057	10956
88	1066	10917
89	1076	10885
90	1085	10839
91	1095	10809
92	1104	10769
93	1112	10718
94	1125	10717
95	1133	10675
96	1141	10627
97	1152	10607
98	1160	10561
99	1170	10531
100	1179	10496
101	1190	10478
102	1204	10492
103	1217	10491
104	1228	10470
105	1239	10453
106	1250	10436
107	1262	10423
108	1273	10413
109	1282	10373
110	1294	10366
111	1306	10362
112	1321	10371
113	1333	10360
114	1346	10363
115	1362	10380
116	1380	10417
117	1412	10560
118	1437	10642
119	1468	10768
120	1498	10883
121	1509	10861
122	1525	10880
123	1536	10851
124	1549	10849
125	1563	10845
126	1583	10886
127	1598	10888
128	1626	10983
129	1665	11143
130	1681	11156
131	1701	11185
132	1724	11240
133	1761	11382
134	1773	11364
135	1795	11406
136	1811	11413
137	1829	11426
138	1850	11465
139	1864	11454
140	1880	11454
141	1896	11462
142	1916	11486
143	1930	11475
144	1943	11460
145	1960	11466
146	1976	11470
147	1987	11442
148	1997	11407
149	2010	11393
150	2022	11369
151	2037	11369
152	2054	11373
153	2066	11353
154	2080	11341
155	2091	11317
156	2104	11298
157	2118	11289
158	2136	11302
159	2156	11321
160	2184	11382
161	2200	11381
162	2224	11421
163	2258	11512
164	2277	11525
165	2298	11549
166	2310	11525
167	2336	11572
168	2352	11566
169	2367	11558
170	2383	11554
171	2399	11550
172	2419	11566
173	2431	11541
174	2445	11528
175	2459	11513
176	2470	11487
177	2482	11465
178	2493	11437
179	2504	11409
180	2513	11371
181	2527	11359
182	2538	11332
183	2588	11480
184	2619	11538
185	2631	11518
186	2641	11485
187	2653	11461
188	2666	11441
189	2674	11400
190	2685	11374
191	2698	11357
192	2711	11335
193	2721	11306
194	2731	11276
195	2757	11309
196	2768	11284
197	2779	11257
198	2791	11238
199	2804	11217
200	2813	11183
201	2827	11168
202	2838	11142
203	2849	11117
204	2859	11089
205	2869	11058
206	2884	11050
207	2895	11026
208	2905	10998
209	2916	10970
210	2929	10954
211	2941	10933
212	2954	10917
213	2965	10892
214	2976	10868
215	2990	10854
216	3001	10829
217	3011	10803
218	3021	10776
219	3038	10771
220	3049	10747
221	3060	10724
222	3068	10691
223	3081	10674
224	3094	10657
225	3103	10627
226	3115	10609
227	3129	10595
228	3140	10572
229	3150	10548
230	3162	10527
231	3175	10512
232	3190	10501
233	3198	10471
234	3211	10453
235	3222	10431
236	3236	10419
237	3245	10392
238	3255	10364
239	3267	10345
240	3278	10325
241	3288	10299
242	3299	10279
243	3312	10262
244	3324	10244
245	3334	10221
246	3347	10203
247	3358	10183
248	3377	10186
249	3386	10159
250	3397	10139
251	3410	10121
252	3422	10105
253	3431	10077
254	3441	10053
255	3455	10042
256	3468	10026
257	3486	10027
258	3499	10013
259	3520	10020
260	3535	10010
261	3555	10015
262	3574	10016
263	3597	10029
264	3617	10033
265	3642	10052
266	3666	10065
267	3679	10051
268	3695	10043
269	3706	10022
270	3720	10009
271	3734	9996
272	3749	9984
273	3762	9968
274	3774	9950
275	3794	9954
276	3805	9932
277	3820	9922
278	3834	9909
279	3849	9898
280	3859	9876
281	3873	9862
282	3883	9837
283	3892	9814
284	3906	9799
285	3916	9776
286	3927	9757
287	3938	9736
288	3947	9712
289	3962	9701
290	3974	9682
